Fraction,N_pos,Correct,Total,Acc
0.001,4000,4000,8000,0.4823223304684943
0.002,4000,4000,8000,0.4823223304684943
0.005,4000,4485,8000,0.5430777562932769
0.01,4000,4064,8000,0.4903245933568132
0.02,4000,4000,8000,0.4823223304684943
0.05,4000,4000,8000,0.4823223304684943
0.1,4000,4046,8000,0.48807349944465733
0.2,4000,6826,8000,0.8407392827510466
0.3,4000,7505,8000,0.9296070720019286
0.4,4000,7509,8000,0.9301393346550275
0.5,4000,7583,8000,0.9400162481608885
0.6,4000,7613,8000,0.9440393243823285
0.9,4000,7598,8000,0.9420262592045613
1.0,4000,7615,8000,0.9443078849377735
